ind,new_cation,new_anion,Experimental logEC50,group
153,CCCCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-],3.15,CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-]
173,CCCCn1cc[n+](C)c1,COCCOCCOS(=O)(=O)[O-],3.158362492,CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-]
295,CC(=O)CCn1cc[n+](C)c1,[Br-],3.78,CC(=O)CCn1cc[n+](C)c1.[Br-]
70,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,3.11,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
74,CCCCn1cc[n+](C)c1,F[B-](F)(F)F,3.230448921,CCCCn1cc[n+](C)c1.F[B-](F)(F)F
26,CCCC[n+]1ccccc1,O=S(=O)([O-])C(F)(F)F,3.66,CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F
297,CC[N+]1(C)CCOCC1,Cc1ccc(S(=O)(=O)[O-])cc1,3.81,CC[N+]1(C)CCOCC1.Cc1ccc(S(=O)(=O)[O-])cc1
176,CCCC[N+](C)(C)C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.61,CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
77,CCCCCCCC[n+]1cccc2ccccc21,[Br-],-0.03,CCCCCCCC[n+]1cccc2ccccc21.[Br-]
36,OCC[NH+](CCO)CCO,CCCCC(=O)[O-],3.530199698,OCC[NH+](CCO)CCO.CCCCC(=O)[O-]
208,Cc1ccc(Cn2cc[n+](C)c2)cc1,F[P-](F)(F)(F)(F)F,2.663700925,Cc1ccc(Cn2cc[n+](C)c2)cc1.F[P-](F)(F)(F)(F)F
61,CCCC[n+]1ccccc1,F[P-](F)(F)(F)(F)F,3.85,CCCC[n+]1ccccc1.F[P-](F)(F)(F)(F)F
98,C[N+](C)(C)CCO,O=C([O-])CO,3.89,C[N+](C)(C)CCO.O=C([O-])CO
124,COCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.38,COCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
270,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],0.64,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
333,CCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],0.65,CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
143,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],-0.24,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
248,CCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],-0.240332155,CCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
332,CCCC[n+]1ccn(CC)c1,F[B-](F)(F)F,3.26,CCCC[n+]1ccn(CC)c1.F[B-](F)(F)F
17,CCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.43,CCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
152,C[n+]1ccn(CCCO)c1,[Cl-],4.6,C[n+]1ccn(CCCO)c1.[Cl-]
215,CCOC[N+](C)(C)CC,[Cl-],3.59,CCOC[N+](C)(C)CC.[Cl-]
131,CCCC[N+]1(C)CCCC1,F[B-](F)(F)F,2.9,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F
117,CCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,3.3,CCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
320,COCCC[n+]1ccccc1,[Cl-],4.6,COCCC[n+]1ccccc1.[Cl-]
166,CCCCCCCCn1cc[n+](C)c1,[Cl-],2.0,CCCCCCCCn1cc[n+](C)c1.[Cl-]
280,CCCCCCCCn1cc[n+](C)c1,[Cl-],2.012837225,CCCCCCCCn1cc[n+](C)c1.[Cl-]
114,C[N+]1(Cc2ccccc2)CCOCC1,CCC(CC)C(=O)[O-],4.13,C[N+]1(Cc2ccccc2)CCOCC1.CCC(CC)C(=O)[O-]
218,CCOCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.201397124,CCOCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
220,Cc1ccc(CN2C=C[NH+](C)C2)cc1,[Cl-],2.64,Cc1ccc(CN2C=C[NH+](C)C2)cc1.[Cl-]
294,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,F[P-](F)(F)(F)(F)F,1.939019776,C[n+]1ccn(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.F[P-](F)(F)(F)(F)F
150,CCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.0,CCCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
289,CCn1cc[n+](C)c1,Cc1ccc(S(=O)(=O)[O-])cc1,3.81,CCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1
12,C[NH+](C)CCO,O=C([O-])CO,3.4,C[NH+](C)CCO.O=C([O-])CO
89,CCCCCCCC[n+]1ccc(C)cc1,[Cl-],2.97,CCCCCCCC[n+]1ccc(C)cc1.[Cl-]
178,CCCCCCCC[n+]1ccc(C)cc1,[Cl-],1.63,CCCCCCCC[n+]1ccc(C)cc1.[Cl-]
97,Cn1cc[n+](CCCO)c1,[Cl-],3.09,Cn1cc[n+](CCCO)c1.[Cl-]
207,CCCCCCCCCn1cc[n+](C)c1,[Cl-],1.399673721,CCCCCCCCCn1cc[n+](C)c1.[Cl-]
271,CC[N+](C)(C)CCO,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.7,CC[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
170,COCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.342422681,COCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
147,CCOCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.26,CCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
42,CC[S+](CC)CC,[Br-],3.4,CC[S+](CC)CC.[Br-]
139,Cc1ccc(Cn2cc[n+](C)c2)cc1,[Cl-],2.64,Cc1ccc(Cn2cc[n+](C)c2)cc1.[Cl-]
53,CCCCCCCOC[n+]1cccc(O)c1,[Cl-],3.0,CCCCCCCOC[n+]1cccc(O)c1.[Cl-]
146,CCCOC[n+]1cccc(O)c1,[Cl-],2.9,CCCOC[n+]1cccc(O)c1.[Cl-]
301,C[N+]1(CC#N)CCOCC1,[Cl-],4.6,C[N+]1(CC#N)CCOCC1.[Cl-]
261,COCC[N+]1(C)CCCCC1,[Br-],4.6,COCC[N+]1(C)CCCCC1.[Br-]
194,C[N+]1(CCO)CCCC1,[I-],4.6,C[N+]1(CCO)CCCC1.[I-]
121,CCCn1cc[n+](C)c1,F[B-](F)(F)F,3.45484486,CCCn1cc[n+](C)c1.F[B-](F)(F)F
126,CCCn1cc[n+](C)c1,F[B-](F)(F)F,3.45,CCCn1cc[n+](C)c1.F[B-](F)(F)F
72,CCOC(=O)C[N+]1(C)CCCC1,[Br-],3.844477176,CCOC(=O)C[N+]1(C)CCCC1.[Br-]
167,CCCCCCCC[n+]1ccc(C)cc1,F[B-](F)(F)F,1.49,CCCCCCCC[n+]1ccc(C)cc1.F[B-](F)(F)F
181,CCCCCCn1cc[n+](C)c1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,1.4,CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
136,CCCC[N+](CCCC)(CCCC)CCCC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1.61,CCCC[N+](CCCC)(CCCC)CCCC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
129,CCCC[n+]1ccccc1,[Br-],3.9,CCCC[n+]1ccccc1.[Br-]
137,CCCC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.82,CCCC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
324,CCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.7,CCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
48,CCCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.87,CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
235,CCOC[N+]1(C)CCOCC1,[Cl-],3.52,CCOC[N+]1(C)CCOCC1.[Cl-]
148,CCn1cc[n+](C)c1,O=C([O-])C(F)(F)F,4.004321374,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F
157,CCn1cc[n+](C)c1,O=C([O-])C(F)(F)F,4.0,CCn1cc[n+](C)c1.O=C([O-])C(F)(F)F
198,CCn1cc[n+](C)c1,[Cl-],3.86,CCn1cc[n+](C)c1.[Cl-]
22,CCCCCCCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,1.6,CCCCCCCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
277,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],0.28,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
242,CCCC[N+]1(C)CCCC1,N#C[N-]C#N,4.23,CCCC[N+]1(C)CCCC1.N#C[N-]C#N
80,C[n+]1ccn(CC#N)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.900367129,C[n+]1ccn(CC#N)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
251,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],0.16,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
250,CCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,3.918030337,CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
83,OCC[NH2+]CCO,CC(=O)[O-],4.032215703,OCC[NH2+]CCO.CC(=O)[O-]
11,OCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.79,OCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
38,C[N+]1(Cc2ccccc2)CCOCC1,O=[N+]([O-])[O-],4.0,C[N+]1(Cc2ccccc2)CCOCC1.O=[N+]([O-])[O-]
200,CCCCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,1.498310554,CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
258,CCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,3.6,CCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21
216,CCOCn1cc[n+](C)c1,[Cl-],3.603144373,CCOCn1cc[n+](C)c1.[Cl-]
160,CCOCC[N+](C)(C)CC,[Cl-],4.6,CCOCC[N+](C)(C)CC.[Cl-]
182,CC[n+]1ccc(N(C)C)cc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.79,CC[n+]1ccc(N(C)C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
64,COCCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.77,COCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
13,CC[n+]1ccccc1,[Cl-],4.22,CC[n+]1ccccc1.[Cl-]
37,CCCC[n+]1cccc(C)c1,N#C[N-]C#N,3.46,CCCC[n+]1cccc(C)c1.N#C[N-]C#N
99,CCCCCC[n+]1ccc(C)cc1,[Cl-],2.67,CCCCCC[n+]1ccc(C)cc1.[Cl-]
78,CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,3.0,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
287,CCCCn1cc[n+](C)c1,O=S(=O)([O-])C(F)(F)F,3.021189299,CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F
96,CCOCC[N+]1(C)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.69,CCOCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
84,CCCCCCCCn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1.64,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
197,CCOC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.26,CCOC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
244,CCCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,0.769377326,CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
6,CCOC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.8,CCOC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
128,C[N+]1(CCCO)CCCC1,[Cl-],4.6,C[N+]1(CCCO)CCCC1.[Cl-]
278,CC[N+](CC)(CC)CC,[Cl-],3.78,CC[N+](CC)(CC)CC.[Cl-]
247,[NH3+]CCCO,CCCC(=O)[O-],3.260071388,[NH3+]CCCO.CCCC(=O)[O-]
321,CCCC[n+]1cc(C)cc(C)c1,[Cl-],3.42,CCCC[n+]1cc(C)cc(C)c1.[Cl-]
253,C[n+]1ccn(CCCC(=O)O)c1,[Cl-],3.78,C[n+]1ccn(CCCC(=O)O)c1.[Cl-]
111,CCCCn1cc[n+](C)c1,[Br-],3.426511261,CCCCn1cc[n+](C)c1.[Br-]
330,CCCCn1cc[n+](C)c1,[Br-],3.43,CCCCn1cc[n+](C)c1.[Br-]
329,COCCC[N+]1(C)CCCC1,[Cl-],4.6,COCCC[N+]1(C)CCCC1.[Cl-]
288,CCCCn1cc[n+](C)c1,N#C[S-],3.416640507,CCCCn1cc[n+](C)c1.N#C[S-]
237,[NH3+]CCCO,O=C[O-],4.490660653,[NH3+]CCCO.O=C[O-]
224,CCOCC[n+]1ccccc1,[Br-],4.24,CCOCC[n+]1ccccc1.[Br-]
134,CCn1cc[n+](C)c1,F[B-](F)(F)F,3.44,CCn1cc[n+](C)c1.F[B-](F)(F)F
155,CCCC[n+]1ccccc1,F[B-](F)(F)F,3.16,CCCC[n+]1ccccc1.F[B-](F)(F)F
318,CCCC[n+]1ccccc1,F[B-](F)(F)F,3.6,CCCC[n+]1ccccc1.F[B-](F)(F)F
106,CCCCn1cc[n+](C)c1,O=S(=O)([O-])O,3.28780173,CCCCn1cc[n+](C)c1.O=S(=O)([O-])O
58,C[N+]1(Cc2ccccc2)CCOCC1,CCCCCCCCCCCCOS(=O)(=O)[O-],2.4,C[N+]1(Cc2ccccc2)CCOCC1.CCCCCCCCCCCCOS(=O)(=O)[O-]
62,C[N+](C)(C)CCO,CC(O)C(=O)[O-],4.6,C[N+](C)(C)CCO.CC(O)C(=O)[O-]
284,COC(C)Cn1cc[n+](C)c1,[Cl-],4.49,COC(C)Cn1cc[n+](C)c1.[Cl-]
57,COCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.19,COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
16,COCC[NH2+]CCOC,NS(=O)(=O)[O-],3.48,COCC[NH2+]CCOC.NS(=O)(=O)[O-]
245,CCCCCCCCCCn1cc[n+](CC)c1,[Br-],0.53,CCCCCCCCCCn1cc[n+](CC)c1.[Br-]
229,COCCC[N+]1(C)CCOCC1,[Cl-],4.6,COCCC[N+]1(C)CCOCC1.[Cl-]
227,OCC[NH2+]CCO,CCCC(=O)[O-],3.245512668,OCC[NH2+]CCO.CCCC(=O)[O-]
279,C[N+](C)(C)C,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.03,C[N+](C)(C)C.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
110,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,[Cl-],0.33,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-]
293,CCCn1cc[n+](C)c1,[Cl-],4.6,CCCn1cc[n+](C)c1.[Cl-]
30,COCC[N+]1(C)CCCC1,[Cl-],4.6,COCC[N+]1(C)CCCC1.[Cl-]
302,C[N+]1(CCCO)CCOCC1,[Cl-],4.6,C[N+]1(CCCO)CCOCC1.[Cl-]
282,CCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,3.096910013,CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
225,CCCCCCCn1cc[n+](C)c1,[Cl-],2.53,CCCCCCCn1cc[n+](C)c1.[Cl-]
52,CCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,3.6,CCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21
299,COCC[N+]1(C)CCOCC1,[Cl-],4.6,COCC[N+]1(C)CCOCC1.[Cl-]
257,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,[Cl-],0.012837225,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.[Cl-]
91,CCCCC[n+]1ccccc1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2.85,CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
9,CCCCn1cc[n+](C)c1,[Cl-],3.553883027,CCCCn1cc[n+](C)c1.[Cl-]
214,CCCCn1cc[n+](C)c1,[Cl-],3.55,CCCCn1cc[n+](C)c1.[Cl-]
312,C[N+]1(CCCO)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.63,C[N+]1(CCCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
196,CC[N+](C)(C)CC#N,[Cl-],4.6,CC[N+](C)(C)CC#N.[Cl-]
254,CCCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
241,CCCC[n+]1ccccc1C,[Cl-],3.75,CCCC[n+]1ccccc1C.[Cl-]
325,CCCCCCCOC[n+]1cccc(O)c1,O=C1[N-]S(=O)(=O)c2ccccc21,3.0,CCCCCCCOC[n+]1cccc(O)c1.O=C1[N-]S(=O)(=O)c2ccccc21
40,CCCCn1cc[n+](C)c1,[I-],3.481442629,CCCCn1cc[n+](C)c1.[I-]
162,CCCCn1cc[n+](C)c1,[I-],3.48,CCCCn1cc[n+](C)c1.[I-]
44,COCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.4,COCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
120,C[NH+](C)CCO,CC(=O)[O-],3.39,C[NH+](C)CCO.CC(=O)[O-]
112,COCCn1cc[n+](C)c1,[Cl-],4.6,COCCn1cc[n+](C)c1.[Cl-]
100,CCCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,1.65,CCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
292,CCn1cc[n+](C)c1,O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.832508913,CCn1cc[n+](C)c1.O=P([O-])(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
2,CCCCn1cc[n+](C)c1,COS(=O)(=O)[O-],3.212187604,CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-]
