ind,new_cation,new_anion,Experimental logEC50,group
233,CCCCCC[n+]1ccccc1,[Cl-],2.8,CCCCCC[n+]1ccccc1.[Cl-]
179,CCOC(=O)C[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.592176757,CCOC(=O)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
281,CCCCCCCCCCn1cc[n+](C)c1,[Cl-],1.34,CCCCCCCCCCn1cc[n+](C)c1.[Cl-]
313,C[N+]1(CCO)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.65,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
81,C[N+]1(CC#N)CCCC1,[Cl-],4.23,C[N+]1(CC#N)CCCC1.[Cl-]
7,COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.16,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
300,CCOCC[N+]1(C)CCOCC1,[Br-],4.6,CCOCC[N+]1(C)CCOCC1.[Br-]
260,C[N+]1(CC#N)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4.0,C[N+]1(CC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
21,C[N+]1(Cc2ccccc2)CCOCC1,O=C([O-])C=CC(=O)O,3.35,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])C=CC(=O)O
104,CCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,3.3,CCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F
102,C[N+]1(Cc2ccccc2)CCOCC1,O=C1[N-]S(=O)(=O)c2ccccc21,3.5,C[N+]1(Cc2ccccc2)CCOCC1.O=C1[N-]S(=O)(=O)c2ccccc21
156,CCCCCCn1cc[n+](C)c1,O=C1[N-]S(=O)(=O)c2ccccc21,2.307496038,CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21
323,CCCC[n+]1ccccc1,COS(=O)(=O)[O-],3.92,CCCC[n+]1ccccc1.COS(=O)(=O)[O-]
115,CCCC[n+]1cccc(C)c1,[Cl-],3.86,CCCC[n+]1cccc(C)c1.[Cl-]
122,CCCC[n+]1ccc(C)c(C)c1,F[B-](F)(F)F,3.02,CCCC[n+]1ccc(C)c(C)c1.F[B-](F)(F)F
103,C[N+]1(Cc2ccccc2)CCOCC1,C/C=C/C(=O)[O-],4.15,C[N+]1(Cc2ccccc2)CCOCC1.C/C=C/C(=O)[O-]
255,CCCCCCCC[N+]1(C)CCCC1,F[B-](F)(F)F,1.82,CCCCCCCC[N+]1(C)CCCC1.F[B-](F)(F)F
326,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.01,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
234,CCCC[n+]1ccccc1C,F[B-](F)(F)F,3.25,CCCC[n+]1ccccc1C.F[B-](F)(F)F
239,OCC[NH2+]CCO,CCC(=O)[O-],3.767155866,OCC[NH2+]CCO.CCC(=O)[O-]
161,CCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2.58,CCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
328,CCCCCC[N+]1(CCCCCC)CCCC1,F[B-](F)(F)F,1.23,CCCCCC[N+]1(CCCCCC)CCCC1.F[B-](F)(F)F
262,CCCC[N+]1(C)CCCCC1,[Br-],4.03,CCCC[N+]1(C)CCCCC1.[Br-]
223,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.4,CCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
283,COC(C)Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.342422681,COC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
174,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2.980003372,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
192,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,1.59,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
256,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,1.591064607,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
107,CC[n+]1ccc(N(C)C)cc1,[Br-],2.9,CC[n+]1ccc(N(C)C)cc1.[Br-]
23,CC[N+](CC)(CC)CC,c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1,1.17,CC[N+](CC)(CC)CC.c1ccc2c(c1)O[B-]1(O2)Oc2ccccc2O1
259,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,1.96,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
69,NCCN1C=CCC=C1,[Cl-],3.79,NCCN1C=CCC=C1.[Cl-]
165,CCCC[n+]1cccc2ccccc21,[Br-],2.32,CCCC[n+]1cccc2ccccc21.[Br-]
